t (s);sp (cm)
44,49431237;10
44,59861431;10
44,72217802;10
44,87236787;10
45;10
45,03937532;10
45,07875065;10
45,12786575;10
45,18061641;10
45,23865403;10
45,30289684;10
45,37471786;10
45,45593579;10
45,549066;10
45,6576958;10
45,78714649;10
45,94568869;10
46;10
46,04334438;10
46,08668877;10
46,1414561;10
46,20067455;10
46,26653062;10
46,3403065;10
46,42398494;10
46,52027915;10
46,63310004;10
46,76830483;10
46,93510459;10
47;10
47,03779371;10
47,07558741;10
47,12415361;10
47,17610888;10
47,23321905;10
47,29634066;10
47,36678706;10
47,44628606;10
47,53721639;10
47,64295058;10
47,76845631;10
47,92139061;10
48;10
48,04344507;10
48,08689014;10
48,1418551;10
48,20129499;10
48,26742236;10
48,34153239;10
48,42563179;10
48,5224694;10
48,63601314;10
48,77221562;10
48,9404564;10
49;10
49,03593096;10
49,07186193;10
49,11748985;10
49,16615855;10
49,21935591;10
49,27779382;10
49,3425399;10
49,41497626;10
49,49696616;10
49,59108725;10
49,70102623;10
49,83226874;10
50;10
50,04920693;10
50,09841385;10
50,15866052;10
50,22459527;10
50,29866314;10
50,38267309;10
50,47940276;10
50,59280103;10
50,72880312;10
50,89675408;10
51;10
51,04497343;10
51,08994686;10
51,14809706;10
51,21109801;10
51,28161652;10
51,36116651;10
51,45216972;10
51,55799784;10
51,68363162;10
51,83674709;10
52;10
52,03754064;10
52,07508127;10
52,12184492;10
52,17190454;10
52,22673643;10
52,28712714;10
52,35424077;10
52,4295978;10
52,51526565;10
52,61413395;10
52,73038669;10
52,87034199;10
53;10
53,04711814;10
53,09423629;10
53,15268272;10
53,21636548;10
53,28766936;10
53,36820938;10
53,46047703;10
53,5679683;10
53,69586524;10
53,85219337;10
54;10
54,03862048;10
54,07724096;10
54,12571197;10
54,17768759;10
54,23480432;10
54,2979364;10
54,36839521;10
54,44790976;10
54,53885996;10
54,64462022;10
54,77016137;10
54,92314581;10
55;10
55,0474891;10
55,0949782;10
55,15537942;10
55,22116441;10
55,29510338;10
55,37894066;10
55,47544955;10
55,58855359;10
55,72414964;10
55,891514;10
56;10
56,03997535;10
56,0799507;10
56,13124306;10
56,18633371;10
56,24720351;10
56,3148737;10
56,39092443;10
56,47746898;10
56,5774753;10
56,69525179;10
56,8373274;10
57;10
57,04870867;10
57,09741733;10
57,1579683;10
57,22413058;10
57,29850357;10
57,38289341;10
57,48011486;10
57,59416769;10
57,73107433;10
57,90033359;10
58;10
58,04651408;10
58,09302817;10
58,15342799;10
58,21903536;10
58,29278396;10
58,37637636;10
58,47257031;10
58,58525538;10
58,72027358;10
58,88680392;10
59;10
59,04073083;10
59,08146167;10
59,1336805;10
59,18984441;10
59,2520086;10
59,32125548;10
59,39926454;10
59,48829463;10
59,59153987;10
59,71367477;10
59,86185232;10
60;10
60,05227899;10
60,10455799;10
60,17056507;10
60,24310911;10
60,32549758;10
60,42007706;10
60,53063523;10
60,66272363;10
60,82504082;10
61;10
61,04000614;10
61,08001227;10
61,1306178;10
61,18500324;10
61,24501201;10
61,31163834;10
61,38639665;10
61,47130758;10
61,5691956;10
61,68413889;10
61,82227755;10
62;10
62,04909159;10
62,09818317;10
62,15882072;10
62,22514314;10
62,29970508;10
62,38433477;10
62,481866;10
62,59633173;10
62,73380957;10
62,90389616;10
63;10
63,04285181;10
63,08570362;10
63,1411853;10
63,20106306;10
63,26775046;10
63,34254716;10
63,42751349;10
63,52547175;10
63,64050911;10
63,77877801;10
63,95001197;10
64;10
64,04822514;10
64,09645027;10
64,15702006;10
64,22311408;10
64,29741787;10
64,38171771;10
64,4788234;10
64,5927219;10
64,72941521;10
64,89836571;10
65;10
65,0451597;10
65,09031939;10
65,14882148;10
65,21221972;10
65,28323064;10
65,36339446;10
65,4551826;10
65,56204227;10
65,68907885;10
65,84418393;10
66;10
66,01832786;10
66,01832786;10
66,06148333;10
66,11318109;10
66,16917911;10
66,23107871;10
66,30001292;10
66,37763123;10
66,46616474;10
66,56876128;10
66,69002074;10
66,83696821;10
67;10
67,04568363;10
67,06280381;10
67,06280381;10
67,10848745;10
67,16744644;10
67,23141045;10
67,30311501;10
67,38414635;10
67,47704554;10
67,58536867;10
67,71440087;10
67,87234594;10
68;10
68,04283267;10
68,08566534;10
68,13994254;10
68,19856968;10
68,263709;10
68,3366021;10
68,41917032;10
68,51403405;10
68,62495639;10
68,75754811;10
68,92058659;10
69;10
69,04855825;10
69,09711649;10
69,15989113;10
69,22834287;10
69,30562959;10
69,39369;10
69,49568058;10
69,6161206;10
69,76191951;10
69,94415618;10
70;10
70,04738;10
70,09476;10
70,15518235;10
70,2209696;10
70,29491525;10
70,37876023;10
70,47527919;10
70,58839661;10
70,72401113;10
70,89140215;10
71;10
71,05358201;10
71,10716403;10
71,17709529;10
71,25400739;10
71,34201865;10
71,44385222;10
71,56410395;10
71,70963237;10
71,89147349;10
72;10
72,05688725;10
72,11377451;10
72,18991868;10
72,27404752;10
72,37145394;10
72,48562837;10
72,62273766;10
72,79227918;10
73;10
73,05394679;10
73,10789358;10
73,17783781;10
73,25484045;10
73,34295269;10
73,44492089;10
73,56535319;10
73,71113481;10
73,89334823;10
74;10
74,35030446;10
74,72596448;10
75;10
75,06662716;10
75,13325432;10
75,22179137;10
75,32136846;10
75,4393072;10
75,58139951;10
75,75827143;10
76;10
76,058094;10
76,11618799;10
76,19243953;10
76,27695933;10
76,37481977;10
76,48961139;10
76,6275718;10
76,79834781;10
77;10
77,04544455;10
77,09088911;10
77,1493221;10
77,21269836;10
77,28367239;10
77,36379189;10
77,45552297;10
77,56230768;10
77,68924219;10
77,84420232;10
78;10
78,05178905;10
78,10357809;10
78,16946992;10
78,24179607;10
78,32392418;10
78,41816639;10
78,52827869;10
78,65975531;10
78,82119551;10
79;10
79,05142468;10
79,10284935;10
79,16872414;10
79,24096017;10
79,3229875;10
79,41709773;10
79,527036;10
79,65827391;10
79,81937221;10
80;10
80,04285543;10
80,08571085;10
80,13998763;10
80,19861801;10
80,26376069;10
80,33665802;10
80,41923155;10
80,51410209;10
80,62503347;10
80,7576376;10
80,9206939;10
81;10
81,0431979;10
81,0863958;10
81,1418706;10
81,20179835;10
81,2685377;10
81,34340006;10
81,42844902;10
81,52651429;10
81,64169445;10
81,78016126;10
81,95168251;10
82;10
82,03808054;10
82,07616108;10
82,12316485;10
82,17354748;10
82,2287563;10
82,28959912;10
82,35726257;10
82,43330051;10
82,5198297;10
82,61981589;10
82,73756544;10
82,87960347;10
83;10
83,04479096;10
83,08958192;10
83,14519629;10
83,20553273;10
83,27273271;10
83,34817075;10
83,43394588;10
83,53295225;10
83,64938991;10
83,7896021;10
83,96366133;10
84;10
84,04077571;10
84,08155143;10
84,13027928;10
84,18283178;10
84,2405984;10
84,30451928;10
84,37594422;10
84,4566664;10
84,54916117;10
84,65695304;10
84,78525955;10
84,94217075;10
85;10
85,04351204;10
85,08702408;10
85,14254123;10
85,20256477;10
85,26941384;10
85,34441294;10
85,42963434;10
85,52792293;10
85,64340124;10
85,78228147;10
85,95440313;10
86;10
86,04734129;10
86,09468258;10
86,15333139;10
86,21726433;10
86,28887487;10
86,3697986;10
86,46255781;10
86,57069682;10
86,69947747;10
86,85706398;10
87;10
87,03816529;10
87,07633059;10
87,12431482;10
87,1757226;10
87,23216366;10
87,29448289;10
87,36394731;10
87,44222223;10
87,53159165;10
87,63528036;10
87,75801454;10
87,90703537;10
88;10
88,04415455;10
88,08830911;10
88,14380849;10
88,20391988;10
88,2708592;10
88,34597265;10
88,43133797;10
88,52981309;10
88,64554055;10
88,78476643;10
88,95739045;10
89;10
89,03904692;10
89,07809383;10
89,12555083;10
89,17653778;10
89,23245327;10
89,2941449;10
89,36284245;10
89,44016363;10
89,52832016;10
89,63042469;10
89,75102102;10
89,89703822;10
90;10
90,04432275;10
90,0886455;10
