t (s);y (cm)
821;15,11135326
822;15,11135326
823;15,12275053
824;15,12275053
825;15,12275053
826;15,13415738
827;15,13415738
828;15,13415738
829;15,12275053
830;15,12275053
831;15,12275053
832;15,13415738
833;15,12275053
834;15,12275053
835;15,12275053
836;15,11135326
837;15,09996553
838;15,11135326
839;15,12275053
840;15,11135326
841;15,11135326
842;15,08858728
843;15,07721846
844;15,07721846
845;15,07721846
846;15,06585905
847;15,06585905
848;15,05450897
849;15,05450897
850;15,0431682
851;15,03183668
852;15,03183668
853;15,03183668
854;15,02051436
855;15,02051436
856;14,99789716
857;14,99789716
858;14,99789716
859;14,99789716
860;14,98660218
861;14,97531621
862;14,97531621
863;14,97531621
864;14,96403922
865;14,96403922
866;14,96403922
867;14,96403922
868;14,95277115
869;14,95277115
870;14,95277115
871;14,95277115
872;14,95277115
873;14,95277115
874;14,94151196
875;14,94151196
876;14,94151196
877;14,94151196
878;14,94151196
879;14,95277115
880;14,94151196
881;14,9302616
882;14,9302616
883;14,94151196
884;14,95277115
885;14,95277115
886;14,94151196
887;14,94151196
888;14,94151196
889;14,95277115
890;14,95277115
891;14,96403922
892;14,96403922
893;14,96403922
894;14,96403922
895;14,96403922
896;14,97531621
897;14,97531621
898;14,97531621
899;14,97531621
900;14,97531621
901;14,97531621
902;14,97531621
903;14,98660218
904;14,98660218
905;14,99789716
906;14,99789716
907;14,99789716
908;14,98660218
909;14,99789716
910;15,0092012
911;15,0092012
912;15,0092012
913;14,99789716
914;15,0092012
915;15,0092012
916;15,02051436
917;15,02051436
918;15,02051436
919;15,03183668
920;15,02051436
921;15,02051436
922;15,02051436
923;15,03183668
924;15,03183668
925;15,02051436
926;15,03183668
927;15,03183668
928;15,02051436
929;15,03183668
930;15,03183668
931;15,02051436
932;15,02051436
933;15,02051436
934;15,03183668
935;15,02051436
936;15,02051436
937;15,0092012
938;15,02051436
939;15,02051436
940;15,0092012
941;15,0092012
942;15,0092012
943;15,0092012
944;15,02051436
945;15,02051436
946;15,02051436
947;15,0092012
948;14,98660218
949;14,99789716
950;15,0092012
951;15,0092012
952;14,98660218
953;14,98660218
954;14,99789716
955;14,99789716
956;14,99789716
957;14,98660218
958;14,99789716
959;14,98660218
960;14,99789716
961;14,98660218
962;14,98660218
963;14,99789716
964;14,99789716
965;14,98660218
966;14,98660218
967;14,98660218
968;14,98660218
969;14,99789716
970;15,0092012
971;14,99789716
972;14,99789716
973;14,98660218
974;14,98660218
975;14,99789716
976;14,99789716
977;14,99789716
978;14,99789716
979;14,99789716
980;14,98660218
981;14,99789716
982;14,98660218
983;14,98660218
984;14,98660218
985;14,99789716
