t (s);u (mA)
70,89140215;17,26670441
71;16,30356035
71,05358201;16,58260907
71,10716403;16,72602727
71,17709529;16,7992667
71,25400739;16,80244532
71,34201865;16,76010215
71,44385222;16,68548374
71,56410395;16,58443651
71,70963237;16,45641091
71,89147349;16,29430683
72;15,61890335
72,05688725;15,79585432
72,11377451;15,87383518
72,18991868;15,89516117
72,27404752;15,86424344
72,37145394;15,79772825
72,48562837;15,70372461
72,62273766;15,58341613
72,79227918;15,43172309
73;14,37675817
73,05394679;14,6568992
73,10789358;14,79982587
73,17783781;14,87134831
73,25484045;14,87305431
73,34295269;14,82923534
73,44492089;14,75303708
73,56535319;14,65018905
73,71113481;14,51999764
73,89334823;14,35515716
74;14,25843625
74,35030446;13,94047226
74,72596448;13,59944054
75;13,64030316
75,06662716;13,45203131
75,13325432;13,32599923
75,22179137;13,20510459
75,32136846;13,09693031
75,4393072;12,98286928
75,58139951;12,85180774
75,75827143;12,69108608
76;13,05094771
76,058094;12,76684426
76,11618799;12,58488996
76,19243953;12,42845838
76,27695933;12,30859794
76,37481977;12,19996298
76,48961139;12,08821742
76,6275718;11,96114511
76,79834781;11,80667984
77;13,64813002
77,04544455;12,93641948
77,09088911;12,4699965
77,1493221;12,09053928
77,21269836;11,84074314
77,28367239;11,66677776
77,36379189;11,53674144
77,45552297;11,42684519
77,56230768;11,32004291
77,68924219;11,20339069
77,84420232;11,06534504
78;12,08207427
78,05178905;11,6127431
78,10357809;11,31489308
78,16946992;11,07774306
78,24179607;10,91552767
78,32392418;10,79162704
78,41816639;10,68445151
78,52827869;10,57786014
78,65975531;10,45946426
78,82119551;10,31772621
79;11,3150271
79,05142468;10,8492524
79,10284935;10,55295085
79,16872414;10,31540409
79,24096017;10,15346559
79,3229875;10,03016718
79,41709773;9,923903448
79,527036;9,818521387
79,65827391;9,701667934
79,81937221;9,561901649
80;12,28509591
80,04285543;11,33712965
80,08571085;10,70711421
80,13998763;10,19661215
80,19861801;9,861362192
80,26376069;9,635108663
80,33665802;9,47739793
80,41923155;9,357752153
80,51410209;9,254377326
80,62503347;9,15157388
80,7576376;9,037245567
80,9206939;8,900144935
81;11,42039646
81,0431979;10,56051384
81,0863958;9,989972241
81,1418706;9,52299114
81,20179835;9,21784977
81,2685377;9,011537213
81,34340006;8,866339123
81,42844902;8,753942256
81,52651429;8,654190802
81,64169445;8,552502984
81,78016126;8,437369872
81,95168251;8,297530535
82;13,99611559
82,03808054;12,31528286
82,07616108;11,15760239
82,12316485;10,20856411
82,17354748;9,567893903
82,2287563;9,135823031
82,28959912;8,848318176
82,35726257;8,655307816
82,43330051;8,519626902
82,5198297;8,41433777
82,61981589;8,320276266
82,73756544;8,223621588
82,87960347;8,113404231
83;10,60112776
83,04479096;9,721452851
83,08958192;9,147484208
83,14519629;8,698139385
83,20553273;8,405045433
83,27273271;8,208698358
83,34817075;8,072006706
83,43394588;7,967417266
83,53295225;7,875415242
83,64938991;7,782006148
83,7896021;7,676264898
83,96366133;7,547598218
84;12,39371061
84,04077571;10,8821214
84,08155143;9,86726811
84,13027928;9,077678335
84,18283178;8,549259063
84,2405984;8,197011623
84,30451928;7,964186068
84,37594422;7,807241733
84,4566664;7,694315826
84,54916117;7,602640716
84,65695304;7,51613674
84,78525955;7,42301485
84,94217075;7,313260608
85;9,854809797
85,04351204;8,997665226
85,08702408;8,432686493
85,14254123;7,976814546
85,20256477;7,682093528
85,26941384;7,486545577
85,34441294;7,352780455
85,42963434;7,252925602
85,52792293;7,167334954
85,64340124;7,08208314
85,78228147;6,986577847
85,95440313;6,870947808
86;8,850115745
86,04734129;8,130354636
86,09468258;7,670444595
86,15333139;7,317852037
86,21726433;7,090102144
86,28887487;6,937234631
86,3697986;6,828306833
86,46255781;6,740742025
86,57069682;6,658725231
86,69947747;6,57074575
86,85706398;6,467137702
87;11,55192399
87,03816529;10,03550845
87,07633059;8,9929126
87,12431482;8,127807751
87,1757226;7,551056654
87,23216366;7,166821022
87,29448289;6,915122205
87,36394731;6,749297275
87,44222223;6,635060634
87,53159165;6,54786723
87,63528036;6,470524177
87,75801454;6,390846093
87,90703537;6,299278992
88;8,839136351
88,04415455;7,971054431
88,08830911;7,403723558
88,14380849;6,955923372
88,20391988;6,6680142
88,2708592;6,479412635
88,34597265;6,352904708
88,43133797;6,260928342
88,52981309;6,184177165
88,64554055;6,109151129
88,78476643;6,025839378
88,95739045;5,925241574
89;11,40241303
89,03904692;9,764895583
89,07809383;8,650052298
89,12555083;7,759443928
89,17653778;7,1632569
89,23245327;6,767118119
89,2941449;6,50924313
89,36284245;6,341744182
89,44016363;6,229362642
89,52832016;6,146867057
89,63042469;6,076676506
89,75102102;6,006552155
89,89703822;5,927301732
90;8,490631189
90,04432275;7,616010592
90,0886455;7,04652918
90,14406289;6,601213529
90,20411694;6,316450902
90,27098019;6,131976677
90,34600069;6,010527173
90,43124839;5,924600123
90,52957119;5,85502755
90,64509516;5,788566273
90,78403873;5,715640854
90,95625242;5,627981591
91;10,57654219
91,03971375;9,077186678
91,0794275;8,063276378
91,12789807;7,256585432
91,18003025;6,721676971
91,23731228;6,36973383
91,30064653;6,143060751
91,37135251;5,997270889
91,45117578;5,899994978
91,54252038;5,82832357
91,64879871;5,766477836
91,77504386;5,70355572
